source_id,source_name,cohort,priority,source_status,operator_verified,endpoint_id,endpoint_type,endpoint_status,officiality,provider_group,url,address_ready,selected_for_pilot,date_filterable,list_enumerable,limitations,checked_at,result,http_status,final_url,content_type,error
openai-news,OpenAI News,base_15,C1,active,True,openai-news-official-html-list-1,official_html_list,stable,official,official,https://openai.com/news/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,http_error,403,https://openai.com/news/,,Forbidden
google-ai-blog,Google AI Blog,base_15,C1,active,True,google-ai-blog-official-html-list-1,official_html_list,stable,official,official,https://blog.google/technology/ai/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://blog.google/innovation-and-ai/technology/ai/,text/html,
deepmind-blog,Google DeepMind Blog,base_15,C1,active,True,deepmind-blog-official-html-list-1,official_html_list,stable,official,official,https://deepmind.google/blog/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://deepmind.google/blog/,text/html,
anthropic-news,Anthropic News,base_15,C1,active,True,anthropic-news-official-html-list-1,official_html_list,stable,official,official,https://www.anthropic.com/news,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.anthropic.com/news,text/html,
meta-ai-blog,Meta AI Blog,base_15,C1,active,True,meta-ai-blog-official-html-list-1,official_html_list,stable,official,official,https://ai.meta.com/blog/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://ai.meta.com/blog/,text/html,
aws-news,AWS News Blog,base_15,C1,active,True,aws-news-official-html-list-1,official_html_list,stable,official,official,https://aws.amazon.com/blogs/aws/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://aws.amazon.com/blogs/aws/,text/html,
reuters-tech,Reuters Technology,base_15,C1,active,True,reuters-tech-official-html-list-1,official_html_list,stable,official,official,https://www.reuters.com/technology/,True,True,False,False,,2026-09-21T03:08:47.292870+00:00,http_error,401,https://www.reuters.com/technology/,,HTTP Forbidden
sec-edgar,SEC EDGAR,base_15,C1,active,True,sec-edgar-official-html-list-1,official_html_list,candidate,unknown,web,https://www.sec.gov/edgar/search/,True,False,False,False,,2026-09-21T03:08:47.292870+00:00,http_error,403,https://www.sec.gov/edgar/search/,,Forbidden
hkex-news,HKEXnews,base_15,C2,active,True,hkex-news-official-html-list-1,official_html_list,candidate,unknown,web,https://www1.hkexnews.hk/,True,False,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.hkexnews.hk/index.htm,text/html,
cninfo,巨潮资讯,base_15,C2,active,True,cninfo-official-html-list-1,official_html_list,candidate,unknown,web,https://www.cninfo.com.cn/,True,False,False,False,,2026-09-21T03:08:47.292870+00:00,reachable,200,https://www.cninfo.com.cn/new/index,text/html,
